num,cell,port,function,safe,ccell,disval,rslt,acio,toggle,differential,pinmap,channel
511,bc_8,GPP_C_1_SMBDATA,bidir,X,510,1,Z,FALSE,TRUE,,gpp_c_1_smbdata,TRUE
512,bc_1,*,control,1,,,,,,,,
513,bc_8,GPP_C_0_SMBCLK,bidir,X,512,1,Z,FALSE,TRUE,,gpp_c_0_smbclk,TRUE
514,bc_1,*,control,1,,,,,,,,
515,bc_8,GPP_H_19_ISH_I2C1_SCL_NMIB,bidir,X,514,1,Z,FALSE,TRUE,,gpp_h_19_ish_i2c1_scl_nmib,TRUE
516,bc_1,*,control,1,,,,,,,,
517,bc_8,GPP_H_18_ISH_I2C1_SDA_SMIB,bidir,X,516,1,Z,FALSE,TRUE,,gpp_h_18_ish_i2c1_sda_smib,TRUE
518,bc_1,*,control,1,,,,,,,,
519,bc_8,GPP_H_17_SML4ALERTB,bidir,X,518,1,Z,FALSE,TRUE,,gpp_h_17_sml4alertb,TRUE
520,bc_1,*,control,1,,,,,,,,
521,bc_8,GPP_H_16_SML4DATA,bidir,X,520,1,Z,FALSE,TRUE,,gpp_h_16_sml4data,TRUE
522,bc_1,*,control,1,,,,,,,,
523,bc_8,GPP_H_15_SML4CLK,bidir,X,522,1,Z,FALSE,TRUE,,gpp_h_15_sml4clk,TRUE
524,bc_1,*,control,1,,,,,,,,
525,bc_8,GPP_H_14_SML3ALERTB,bidir,X,524,1,Z,FALSE,TRUE,,gpp_h_14_sml3alertb,TRUE
526,bc_1,*,control,1,,,,,,,,
527,bc_8,GPP_H_13_SML3DATA,bidir,X,526,1,Z,FALSE,TRUE,,gpp_h_13_sml3data,TRUE
528,bc_1,*,control,1,,,,,,,,
529,bc_8,GPP_H_12_SML3CLK,bidir,X,528,1,Z,FALSE,TRUE,,gpp_h_12_sml3clk,TRUE
530,bc_1,*,control,1,,,,,,,,
531,bc_8,GPP_H_11_SML2ALERTB,bidir,X,530,1,Z,FALSE,TRUE,,gpp_h_11_sml2alertb,TRUE
532,bc_1,*,control,1,,,,,,,,
533,bc_8,GPP_H_10_SML2DATA,bidir,X,532,1,Z,FALSE,TRUE,,gpp_h_10_sml2data,TRUE
