num,cell,port,function,safe,ccell,disval,rslt,acio,toggle,differential,pinmap,channel
745,bc_4,USB31_3_RXN,observe_only,1,,,,TRUE,FALSE,,usb31_3_rxn,TRUE
746,bc_4,USB31_3_RXP,observe_only,1,,,,TRUE,FALSE,,usb31_3_rxp,TRUE
747,AC_1,USB31_3_TXP,output2,1,,,,TRUE,FALSE,USB31_3_TXN,usb31_3_txp,TRUE
748,bc_4,USB31_2_RXN,observe_only,1,,,,TRUE,FALSE,,usb31_2_rxn,TRUE
749,bc_4,USB31_2_RXP,observe_only,1,,,,TRUE,FALSE,,usb31_2_rxp,TRUE
750,AC_1,USB31_2_TXP,output2,1,,,,TRUE,FALSE,USB31_2_TXN,usb31_2_txp,TRUE
751,bc_4,USB31_1_RXN,observe_only,1,,,,TRUE,FALSE,,usb31_1_rxn,TRUE
752,bc_4,USB31_1_RXP,observe_only,1,,,,TRUE,FALSE,,usb31_1_rxp,TRUE
753,AC_1,USB31_1_TXP,output2,1,,,,TRUE,FALSE,USB31_1_TXN,usb31_1_txp,TRUE
754,bc_4,*,segment select,1,,,,,,,,
755,bc_4,*,power,1,,,,,,,,
756,bc_4,*,delay,0,,,,,,,,
757,bc_2,*,control,0,,,,,,,,
758,bc_8,USB2N_14,bidir,X,757,0,Z,FALSE,FALSE,,usb2n_14,TRUE
759,bc_2,*,control,0,,,,,,,,
760,bc_8,USB2P_14,bidir,X,759,0,Z,FALSE,FALSE,,usb2p_14,TRUE
761,bc_2,*,control,0,,,,,,,,
