INSTRUCTION,OPCODE
PRELOAD,b00000011
CLAMP,b00000100
SAMPLEPRE,b00000001
SAMPLE_PRELOAD,b00000001
EXTEST,b00001001
EXTEST_PULSE,b00001110
EXTEST_TRAIN,b00001111
EXTEST_TOGGLE,b00001101
